Query,Assessment_url
"Looking to hire mid-level professionals who are proficient in Python, SQL and Java Script. Need an assessment package max 60 minutes.",https://www.shl.com/solutions/products/product-catalog/view/automata-selenium/
"Looking to hire mid-level professionals who are proficient in Python, SQL and Java Script. Need an assessment package max 60 minutes.",https://www.shl.com/solutions/products/product-catalog/view/javascript-new/
"Looking to hire mid-level professionals who are proficient in Python, SQL and Java Script. Need an assessment package max 60 minutes.",https://www.shl.com/solutions/products/product-catalog/view/htmlcss-new/
"Looking to hire mid-level professionals who are proficient in Python, SQL and Java Script. Need an assessment package max 60 minutes.",https://www.shl.com/solutions/products/product-catalog/view/python-new/
"Looking to hire mid-level professionals who are proficient in Python, SQL and Java Script. Need an assessment package max 60 minutes.",https://www.shl.com/solutions/products/product-catalog/view/automata-fix-new/
"Looking to hire mid-level professionals who are proficient in Python, SQL and Java Script. Need an assessment package max 60 minutes.",https://www.shl.com/solutions/products/product-catalog/view/core-java-entry-level-new/
"Looking to hire mid-level professionals who are proficient in Python, SQL and Java Script. Need an assessment package max 60 minutes.",https://www.shl.com/solutions/products/product-catalog/view/sql-server-analysis-services-%28ssas%29-%28new%29/
"Looking to hire mid-level professionals who are proficient in Python, SQL and Java Script. Need an assessment package max 60 minutes.",https://www.shl.com/solutions/products/product-catalog/view/sql-server-new/
"Looking to hire mid-level professionals who are proficient in Python, SQL and Java Script. Need an assessment package max 60 minutes.",https://www.shl.com/solutions/products/product-catalog/view/core-java-advanced-level-new/
"Looking to hire mid-level professionals who are proficient in Python, SQL and Java Script. Need an assessment package max 60 minutes.",https://www.shl.com/solutions/products/product-catalog/view/automata-sql-new/
